"Date","Not Applicable","Not Seasonally Adjusted"
"2015-07-13",,2.816
"2015-07-20",,2.779
"2015-07-27",,2.741
"2015-08-03",,2.696
"2015-08-10",,2.647
"2015-08-17",,2.618
"2015-08-24",,2.559
"2015-08-31",,2.473
"2015-09-07",,2.438
"2015-09-14",,2.389
"2015-09-21",,2.337
"2015-09-28",,2.321

Gas Prices

